religion,statement,mean,
Buddhist/Hindu,Q13A,2.637018,
Other,Q13A,2.813102,
Buddhist/Hindu,Q17A,2.396929,
Other,Q17A,2.680705,
Buddhist/Hindu,Q34A,2.411575,
Other,Q34A,2.639654,
Buddhist/Hindu,Q42A,2.584821,
Other,Q42A,2.846305,
